Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
7/4/16,1371.00,615.00,0.42,0.00,1400.00,40.00,0.00,0.00,100.00
8/4/16,1419.00,638.00,0.44,0.00,1358.00,82.00,0.00,0.00,186.00
9/4/16,1354.00,673.00,0.46,0.00,1408.00,32.00,0.00,0.00,76.00
10/4/16,1367.00,655.00,0.45,0.00,1397.00,43.00,0.00,0.00,99.00
11/4/16,1423.00,1485.00,1.02,0.00,1359.00,81.00,0.00,0.00,190.00
12/4/16,1392.00,904.00,0.62,0.00,1380.00,60.00,0.00,0.00,140.00
13/4/16,1405.00,994.00,0.68,0.00,1369.00,71.00,0.00,0.00,162.00
14/4/16,1418.00,1166.00,0.80,0.00,1360.00,80.00,0.00,0.00,183.00
15/4/16,1442.00,1341.00,0.92,1.00,1344.00,96.00,0.00,0.00,223.00
16/4/16,1442.00,1919.00,1.31,0.00,1342.00,98.00,0.00,0.00,224.00
17/4/16,1415.00,1100.00,0.75,0.00,1364.00,76.00,0.00,0.00,177.00
18/4/16,1457.00,2350.00,1.61,0.00,1333.00,107.00,0.00,0.00,247.00
19/4/16,1444.00,1659.00,1.14,0.00,1340.00,100.00,0.00,0.00,228.00
20/4/16,1391.00,738.00,0.51,0.00,1379.00,61.00,0.00,0.00,140.00
21/4/16,1445.00,1675.00,1.15,0.00,1339.00,101.00,0.00,0.00,230.00
22/4/16,1411.00,1205.00,0.83,0.00,1365.00,75.00,0.00,0.00,172.00
23/4/16,1437.00,1887.00,1.29,0.00,1350.00,90.00,0.00,0.00,212.00
24/4/16,1364.00,348.00,0.24,0.00,1398.00,42.00,0.00,0.00,95.00
25/4/16,1309.00,0.00,0.00,0.00,1439.00,1.00,0.00,0.00,3.00
26/4/16,1307.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
27/4/16,1307.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
28/4/16,1307.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
29/4/16,1307.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
30/4/16,1315.00,75.00,0.05,0.00,1435.00,5.00,0.00,0.00,12.00
1/5/16,1307.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
2/5/16,1307.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
3/5/16,1363.00,402.00,0.28,0.00,1399.00,41.00,0.00,0.00,93.00
4/5/16,1370.00,546.00,0.37,0.00,1393.00,47.00,0.00,0.00,106.00
5/5/16,1371.00,355.00,0.24,0.00,1392.00,48.00,0.00,0.00,107.00
6/5/16,1350.00,208.00,0.14,0.00,1409.00,31.00,0.00,0.00,71.00
7/5/16,1338.00,152.00,0.10,0.00,1419.00,21.00,0.00,0.00,50.00
8/5/16,1384.00,426.00,0.29,0.00,1385.00,55.00,0.00,0.00,127.00
9/5/16,1396.00,552.00,0.38,0.00,1377.00,63.00,0.00,0.00,146.00
10/5/16,1362.00,384.00,0.26,0.00,1400.00,40.00,0.00,0.00,91.00
11/5/16,1398.00,1033.00,0.71,0.00,1375.00,65.00,0.00,0.00,150.00
12/5/16,1391.00,1024.00,0.70,0.00,1377.00,63.00,0.00,0.00,142.00
13/5/16,1373.00,541.00,0.37,0.00,1390.00,50.00,0.00,0.00,112.00
