Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
22/2/16,1455.00,430.00,0.29,8.00,1408.00,32.00,0.00,0.00,101.00
23/2/16,1657.00,1476.00,0.99,8.00,1315.00,125.00,0.00,0.00,392.00
24/2/16,1812.00,2086.00,1.40,13.00,1260.00,170.00,9.00,1.00,600.00
25/2/16,1612.00,1025.00,0.69,7.00,1333.00,107.00,0.00,0.00,330.00
26/2/16,1688.00,1659.00,1.12,18.00,1318.00,122.00,0.00,0.00,421.00
27/2/16,1500.00,436.00,0.29,5.00,1380.00,60.00,0.00,0.00,173.00
28/2/16,1531.00,517.00,0.35,5.00,1366.00,74.00,0.00,0.00,217.00
29/2/16,1748.00,2000.00,1.35,11.00,1305.00,109.00,26.00,0.00,493.00
1/3/16,1693.00,1469.00,0.99,13.00,1321.00,119.00,0.00,0.00,423.00
2/3/16,1859.00,2503.00,1.68,8.00,1288.00,100.00,37.00,15.00,620.00
3/3/16,1706.00,1375.00,0.93,5.00,1315.00,95.00,27.00,3.00,441.00
4/3/16,1756.00,1946.00,1.31,4.00,1308.00,86.00,41.00,5.00,499.00
5/3/16,1756.00,1731.00,1.16,25.00,1317.00,110.00,7.00,6.00,490.00
6/3/16,1733.00,1613.00,1.09,14.00,1351.00,69.00,3.00,17.00,434.00
7/3/16,1908.00,2168.00,1.46,22.00,1275.00,108.00,34.00,23.00,682.00
8/3/16,1642.00,845.00,0.57,4.00,1344.00,79.00,14.00,3.00,350.00
9/3/16,1589.00,698.00,0.47,1.00,1362.00,59.00,18.00,1.00,279.00
10/3/16,1403.00,201.00,0.14,5.00,1434.00,6.00,0.00,0.00,24.00
11/3/16,1393.00,22.00,0.01,1.00,1435.00,5.00,0.00,0.00,13.00
12/3/16,1385.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
13/3/16,1385.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
14/3/16,1385.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
15/3/16,1795.00,2782.00,1.98,5.00,1297.00,133.00,6.00,4.00,548.00
16/3/16,1874.00,2125.00,1.43,0.00,1292.00,112.00,19.00,17.00,632.00
17/3/16,1870.00,2041.00,1.37,0.00,1278.00,152.00,9.00,1.00,641.00
18/3/16,1916.00,2717.00,1.83,2.00,1274.00,140.00,15.00,11.00,691.00
19/3/16,1886.00,2528.00,1.70,8.00,1278.00,155.00,3.00,4.00,657.00
20/3/16,1828.00,2274.00,1.53,3.00,1298.00,112.00,18.00,12.00,580.00
21/3/16,2015.00,3197.00,2.15,0.00,1245.00,180.00,10.00,5.00,818.00
22/3/16,1889.00,2511.00,1.69,0.00,1288.00,133.00,6.00,13.00,651.00
23/3/16,1823.00,2375.00,1.60,1.00,1309.00,93.00,24.00,14.00,564.00
24/3/16,2372.00,4700.00,3.16,2.00,1067.00,306.00,53.00,14.00,1346.00
25/3/16,1941.00,2351.00,1.58,0.00,1190.00,250.00,0.00,0.00,797.00
26/3/16,2095.00,2828.00,1.90,0.00,1132.00,308.00,0.00,0.00,1005.00
27/3/16,1948.00,2227.00,1.50,0.00,1185.00,247.00,5.00,3.00,809.00
