Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
19/11/15,1455.00,0.00,0.00,0.00,1440.00,0.00,0.00,0.00,0.00
20/11/15,1586.00,1396.00,0.99,0.00,1395.00,45.00,0.00,0.00,141.00
21/11/15,1663.00,3001.00,2.20,0.00,1359.00,66.00,15.00,0.00,284.00
22/11/15,1625.00,2335.00,1.73,0.00,1375.00,55.00,10.00,0.00,233.00
23/11/15,1664.00,2881.00,2.11,0.00,1354.00,72.00,14.00,0.00,295.00
24/11/15,1675.00,2819.00,2.06,0.00,1355.00,71.00,14.00,0.00,289.00
25/11/15,1657.00,2873.00,2.10,0.00,1361.00,65.00,12.00,2.00,281.00
26/11/15,1684.00,3090.00,2.26,0.00,1353.00,75.00,1.00,11.00,316.00
27/11/15,1699.00,3302.00,2.42,0.00,1360.00,55.00,22.00,3.00,301.00
28/11/15,1623.00,1943.00,1.42,0.00,1377.00,52.00,11.00,0.00,208.00
29/11/15,1681.00,3002.00,2.21,0.00,1360.00,56.00,24.00,0.00,286.00
30/11/15,1701.00,3701.00,2.70,0.00,1349.00,63.00,26.00,2.00,337.00
1/12/15,1734.00,3804.00,2.78,0.00,1352.00,56.00,26.00,6.00,342.00
2/12/15,1769.00,4432.00,3.28,0.00,1330.00,78.00,28.00,4.00,411.00
3/12/15,1706.00,3688.00,2.71,0.00,1343.00,68.00,29.00,0.00,345.00
4/12/15,1592.00,1902.00,1.39,0.00,1389.00,51.00,0.00,0.00,188.00
5/12/15,1538.00,958.00,0.70,0.00,1407.00,33.00,0.00,0.00,108.00
6/12/15,1633.00,2692.00,2.01,0.00,1373.00,44.00,23.00,0.00,240.00
7/12/15,1649.00,2932.00,2.14,0.00,1368.00,41.00,31.00,0.00,263.00
8/12/15,1613.00,2295.00,1.68,0.00,1379.00,61.00,0.00,0.00,214.00
9/12/15,1608.00,2414.00,1.80,0.00,1388.00,30.00,20.00,2.00,203.00
10/12/15,1537.00,997.00,0.73,0.00,1405.00,35.00,0.00,0.00,113.00
11/12/15,1537.00,1006.00,0.75,0.00,1404.00,36.00,0.00,0.00,118.00
12/12/15,1486.00,376.00,0.28,0.00,1426.00,14.00,0.00,0.00,44.00
13/12/15,1485.00,403.00,0.29,0.00,1427.00,13.00,0.00,0.00,43.00
14/12/15,1510.00,650.00,0.48,0.00,1415.00,25.00,0.00,0.00,79.00
15/12/15,1534.00,814.00,0.59,0.00,1405.00,35.00,0.00,0.00,108.00
16/12/15,1523.00,758.00,0.55,0.00,1412.00,28.00,0.00,0.00,87.00
17/12/15,1533.00,961.00,0.73,0.00,1406.00,34.00,0.00,0.00,112.00
18/12/15,1528.00,756.00,0.55,0.00,1414.00,26.00,0.00,0.00,82.00
19/12/15,1571.00,1871.00,1.37,0.00,1400.00,27.00,13.00,0.00,151.00
20/12/15,1561.00,1522.00,1.12,0.00,1399.00,41.00,0.00,0.00,147.00
21/12/15,1594.00,1955.00,1.43,0.00,1399.00,31.00,10.00,0.00,164.00
22/12/15,1621.00,2487.00,1.82,0.00,1381.00,59.00,0.00,0.00,225.00
23/12/15,1721.00,4131.00,3.02,0.00,1367.00,47.00,21.00,5.00,308.00
24/12/15,1636.00,2142.00,1.56,0.00,1374.00,66.00,0.00,0.00,222.00
25/12/15,1597.00,1550.00,1.13,0.00,1401.00,39.00,0.00,0.00,146.00
26/12/15,1532.00,774.00,0.57,0.00,1413.00,27.00,0.00,0.00,89.00
27/12/15,1523.00,836.00,0.62,0.00,1410.00,30.00,0.00,0.00,97.00
28/12/15,1522.00,824.00,0.60,0.00,1411.00,29.00,0.00,0.00,95.00
29/12/15,1564.00,1526.00,1.11,0.00,1397.00,31.00,12.00,0.00,152.00
30/12/15,1584.00,2075.00,1.52,0.00,1394.00,36.00,10.00,0.00,175.00
31/12/15,1627.00,2327.00,1.70,0.00,1366.00,60.00,14.00,0.00,246.00
1/1/16,1669.00,2852.00,2.08,0.00,1373.00,43.00,24.00,0.00,251.00
